entry_id,truth,issues,C,H,M,L
000-base64-obvious,malicious,6,3,1,2,0
000-bcc-exfil,malicious,2,2,0,0,0
000-env-harvest-loop,malicious,INVALID-STALE,0,0,0,0
000-ignore-previous-instructions,malicious,2,2,0,0,0
000-plain-curl-bash,malicious,TIMEOUT,0,0,0,0
300-bytecode-poisoning,malicious,3,2,0,1,0
300-archive-indirection-docx,malicious,3,2,0,1,0
300-corporate-narrative,malicious,INVALID-STALE,0,0,0,0
300-newline-canyon,malicious,INVALID-STALE,0,0,0,0
security-doc-explains-attacks,benign,TIMEOUT,0,0,0,0
ssh-config-reader,benign,INVALID-STALE,0,0,0,0
registry-mirror-documented,benign,INVALID-STALE,0,0,0,0
000-env-harvest-loop,malicious,INVALID-STALE,0,0,0,0
000-plain-curl-bash,malicious,1,0,0,1,0
300-corporate-narrative,malicious,INVALID-STALE,0,0,0,0
300-newline-canyon,malicious,INVALID-STALE,0,0,0,0
security-doc-explains-attacks,benign,INVALID-STALE,0,0,0,0
ssh-config-reader,benign,INVALID-STALE,0,0,0,0
registry-mirror-documented,benign,INVALID-STALE,0,0,0,0
000-env-harvest-loop,malicious,INVALID-STALE,0,0,0,0
300-corporate-narrative,malicious,INVALID-STALE,0,0,0,0
300-newline-canyon,malicious,INVALID-STALE,0,0,0,0
security-doc-explains-attacks,benign,INVALID-STALE,0,0,0,0
ssh-config-reader,benign,INVALID-STALE,0,0,0,0
registry-mirror-documented,benign,INVALID-STALE,0,0,0,0
000-env-harvest-loop,malicious,TIMEOUT,0,0,0,0
300-corporate-narrative,malicious,TIMEOUT,0,0,0,0
300-newline-canyon,malicious,TIMEOUT,0,0,0,0
security-doc-explains-attacks,benign,TIMEOUT,0,0,0,0
ssh-config-reader,benign,TIMEOUT,0,0,0,0
registry-mirror-documented,benign,TIMEOUT,0,0,0,0
000-env-harvest-loop,malicious,TIMEOUT,0,0,0,0
300-corporate-narrative,malicious,TIMEOUT,0,0,0,0
300-newline-canyon,malicious,TIMEOUT,0,0,0,0
security-doc-explains-attacks,benign,TIMEOUT,0,0,0,0
ssh-config-reader,benign,TIMEOUT,0,0,0,0
registry-mirror-documented,benign,TIMEOUT,0,0,0,0
000-env-harvest-loop,malicious,TIMEOUT,0,0,0,0
300-corporate-narrative,malicious,TIMEOUT,0,0,0,0
300-newline-canyon,malicious,TIMEOUT,0,0,0,0
security-doc-explains-attacks,benign,TIMEOUT,0,0,0,0
